"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "XML", "CSS", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\hyperbeast\database\migrations\2025_01_27_004250_create_role_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 5, 30
"c:\laragon\www\hyperbeast\database\migrations\2025_01_27_004415_create_subscriptions_table.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 6, 4, 31
"c:\laragon\www\hyperbeast\database\migrations\2025_01_27_120534_create_newsletters_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 6, 4, 32
"c:\laragon\www\hyperbeast\database\migrations\2025_01_27_233027_add_default_value_to_role_id_in_users_table.php", "PHP", 0, 0, 19, 0, 0, 0, 0, 6, 4, 29
"c:\laragon\www\hyperbeast\database\migrations\2025_01_28_235233_rename_old_table_to_new_table.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 6, 4, 25
"c:\laragon\www\hyperbeast\database\migrations\2025_02_02_193344_add_avatar_and_status_to_users_table.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 3, 4, 29
"c:\laragon\www\hyperbeast\database\migrations\2025_02_02_213810_add_username_to_users_table.php", "PHP", 0, 0, 34, 0, 0, 0, 0, 6, 6, 46
"c:\laragon\www\hyperbeast\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 5, 6, 33
"c:\laragon\www\hyperbeast\database\seeders\RoleSeeder.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 2, 5, 23
"c:\laragon\www\hyperbeast\database\seeders\UserSeeder.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\hyperbeast\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\laragon\www\hyperbeast\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\laragon\www\hyperbeast\phpunit.xml", "XML", 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\laragon\www\hyperbeast\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\hyperbeast\public\index.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 3, 6, 18
"c:\laragon\www\hyperbeast\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\laragon\www\hyperbeast\resources\js\Components\ApplicationLogo.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\laragon\www\hyperbeast\resources\js\Components\Checkbox.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\laragon\www\hyperbeast\resources\js\Components\DangerButton.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\laragon\www\hyperbeast\resources\js\Components\Dropdown.jsx", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 17, 108
"c:\laragon\www\hyperbeast\resources\js\Components\InputError.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\laragon\www\hyperbeast\resources\js\Components\InputLabel.jsx", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"c:\laragon\www\hyperbeast\resources\js\Components\Modal.jsx", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 5, 66
"c:\laragon\www\hyperbeast\resources\js\Components\NavLink.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"c:\laragon\www\hyperbeast\resources\js\Components\PrimaryButton.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\laragon\www\hyperbeast\resources\js\Components\ResponsiveNavLink.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\hyperbeast\resources\js\Components\SecondaryButton.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\laragon\www\hyperbeast\resources\js\Components\TextInput.jsx", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 5, 31
"c:\laragon\www\hyperbeast\resources\js\Components\about\AboutHero.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\laragon\www\hyperbeast\resources\js\Components\about\AboutMe.jsx", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 0, 3, 57
"c:\laragon\www\hyperbeast\resources\js\Components\article\ArticleContent.jsx", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 2, 54
"c:\laragon\www\hyperbeast\resources\js\Components\article\ArticleHeader.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
